Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1685094694673,398.0,409.0
1,1685094694673,411.0,412.0
2,1685094694673,421.0,421.0
3,1685094694673,416.0,420.0
4,1685094694673,397.0,413.0
5,1685094694673,383.0,386.0
6,1685094694673,407.0,401.0
7,1685094694673,466.0,427.0
8,1685094694673,437.0,492.0
9,1685094694678,452.0,404.0
10,1685094694678,458.0,441.0
11,1685094694678,453.0,458.0
12,1685094694678,406.0,351.0
13,1685094694678,485.0,485.0
14,1685094694678,433.0,402.0
15,1685094694678,378.0,380.0
16,1685094694678,466.0,423.0
17,1685094694678,412.0,415.0
18,1685094694678,420.0,406.0
19,1685094694678,396.0,418.0
20,1685094694678,456.0,455.0
21,1685094694678,428.0,490.0
22,1685094694678,466.0,436.0
23,1685094694678,425.0,494.0
24,1685094694678,461.0,410.0
25,1685094694678,437.0,484.0
26,1685094694678,441.0,417.0
27,1685094694678,440.0,408.0
28,1685094694678,466.0,485.0
29,1685094694678,394.0,347.0
30,1685094694678,456.0,452.0
31,1685094694678,469.0,434.0
32,1685094694678,379.0,381.0
33,1685094694678,437.0,404.0
34,1685094694678,426.0,434.0
35,1685094694678,435.0,441.0
36,1685094694678,399.0,439.0
37,1685094694678,459.0,450.0
38,1685094694678,428.0,489.0
39,1685094694678,457.0,421.0
40,1685094694678,421.0,487.0
41,1685094694678,452.0,402.0
42,1685094694678,443.0,468.0
43,1685094694678,429.0,430.0
44,1685094694678,424.0,386.0
45,1685094694678,473.0,484.0
46,1685094694678,406.0,373.0
47,1685094694678,440.0,430.0
48,1685094694678,502.0,465.0
49,1685094694678,406.0,404.0
50,1685094694678,425.0,404.0
51,1685094694678,409.0,424.0
52,1685094694679,445.0,451.0
53,1685094694679,406.0,457.0
54,1685094694679,457.0,443.0
55,1685094694679,421.0,488.0
56,1685094694679,452.0,417.0
57,1685094694679,431.0,500.0
58,1685094694679,461.0,415.0
59,1685094694679,455.0,445.0
60,1685094694679,447.0,453.0
61,1685094694679,416.0,359.0
62,1685094694679,483.0,489.0
63,1685094694679,425.0,397.0
64,1685094694679,395.0,388.0
65,1685094694679,477.0,434.0
66,1685094694679,409.0,418.0
67,1685094694679,417.0,407.0
68,1685094694679,382.0,409.0
69,1685094694679,447.0,461.0
70,1685094694679,422.0,478.0
71,1685094694679,467.0,445.0
72,1685094694679,424.0,499.0
73,1685094694679,460.0,423.0
74,1685094694679,439.0,475.0
75,1685094694679,441.0,421.0
76,1685094694679,458.0,426.0
77,1685094694679,461.0,469.0
78,1685094694679,401.0,352.0
79,1685094694679,469.0,458.0
80,1685094694679,453.0,419.0
81,1685094694679,375.0,379.0
82,1685094694680,447.0,403.0
83,1685094694680,423.0,424.0
84,1685094694680,434.0,428.0
85,1685094694680,401.0,434.0
86,1685094694680,461.0,464.0
87,1685094694680,424.0,490.0
88,1685094694680,463.0,430.0
89,1685094694680,423.0,496.0
90,1685094694680,459.0,410.0
91,1685094694680,442.0,483.0
92,1685094694680,432.0,416.0
93,1685094694680,441.0,389.0
94,1685094694680,465.0,488.0
95,1685094694680,395.0,351.0
96,1685094694680,446.0,435.0
97,1685094694680,492.0,457.0
98,1685094694680,393.0,401.0
99,1685094694680,436.0,405.0
100,1685094694680,422.0,430.0
101,1685094694680,454.0,456.0
102,1685094694680,410.0,451.0
103,1685094694680,459.0,450.0
104,1685094694680,425.0,494.0
105,1685094694680,449.0,412.0
106,1685094694680,414.0,479.0
107,1685094694680,442.0,409.0
108,1685094694680,445.0,453.0
109,1685094694680,443.0,443.0
110,1685094694680,419.0,371.0
111,1685094694680,488.0,496.0
112,1685094694680,423.0,384.0
113,1685094694680,420.0,409.0
114,1685094694680,493.0,451.0
115,1685094694680,413.0,410.0
116,1685094694680,410.0,402.0
117,1685094694680,397.0,412.0
118,1685094694680,448.0,459.0
119,1685094694680,396.0,466.0
120,1685094694680,466.0,447.0
121,1685094694680,418.0,501.0
122,1685094694680,457.0,415.0
123,1685094694680,439.0,486.0
124,1685094694680,442.0,402.0
125,1685094694680,456.0,438.0
126,1685094694680,456.0,474.0
127,1685094694680,410.0,344.0
128,1685094694680,480.0,478.0
129,1685094694680,445.0,406.0
130,1685094694680,367.0,369.0
131,1685094694680,450.0,416.0
132,1685094694680,412.0,415.0
133,1685094694680,421.0,418.0
134,1685094694680,389.0,436.0
135,1685094694680,454.0,455.0
136,1685094694680,414.0,488.0
137,1685094694680,457.0,436.0
138,1685094694680,425.0,506.0
139,1685094694680,458.0,418.0
140,1685094694680,450.0,487.0
141,1685094694680,438.0,419.0
142,1685094694680,443.0,394.0
143,1685094694680,474.0,481.0
144,1685094694680,393.0,342.0
145,1685094694680,455.0,438.0
146,1685094694680,473.0,447.0
147,1685094694680,384.0,383.0
148,1685094694680,434.0,408.0
149,1685094694680,417.0,424.0
150,1685094694680,450.0,448.0
151,1685094694680,404.0,457.0
152,1685094694680,466.0,446.0
153,1685094694680,425.0,496.0
154,1685094694680,448.0,421.0
155,1685094694680,420.0,487.0
156,1685094694680,449.0,398.0
157,1685094694680,448.0,461.0
158,1685094694680,427.0,430.0
159,1685094694680,422.0,356.0
160,1685094694680,489.0,496.0
161,1685094694680,407.0,371.0
162,1685094694680,434.0,416.0
163,1685094694680,498.0,464.0
164,1685094694680,407.0,415.0
165,1685094694680,427.0,415.0
166,1685094694680,411.0,415.0
167,1685094694680,458.0,455.0
168,1685094694680,399.0,462.0
169,1685094694680,460.0,444.0
170,1685094694680,422.0,499.0
171,1685094694680,451.0,408.0
172,1685094694680,423.0,485.0
173,1685094694680,439.0,406.0
174,1685094694680,453.0,445.0
175,1685094694680,446.0,471.0
176,1685094694680,413.0,345.0
177,1685094694680,485.0,491.0
178,1685094694680,439.0,407.0
179,1685094694680,393.0,378.0
180,1685094694680,477.0,433.0
181,1685094694680,413.0,409.0
182,1685094694680,416.0,414.0
183,1685094694680,391.0,413.0
184,1685094694680,450.0,451.0
185,1685094694680,407.0,480.0
186,1685094694680,455.0,436.0
187,1685094694680,419.0,502.0
188,1685094694680,463.0,418.0
189,1685094694680,442.0,478.0
190,1685094694680,441.0,416.0
191,1685094694680,449.0,410.0
192,1685094694680,463.0,479.0
193,1685094694680,409.0,353.0
194,1685094694680,472.0,457.0
195,1685094694680,461.0,429.0
196,1685094694680,379.0,379.0
197,1685094694680,438.0,402.0
198,1685094694680,420.0,418.0
199,1685094694680,431.0,440.0
200,1685094694680,391.0,437.0
201,1685094694680,459.0,461.0
202,1685094694680,428.0,501.0
203,1685094694680,456.0,423.0
204,1685094694680,424.0,511.0
205,1685094694680,462.0,404.0
206,1685094694680,451.0,480.0
207,1685094694680,440.0,421.0
208,1685094694680,431.0,380.0
209,1685094694680,478.0,486.0
210,1685094694680,407.0,365.0
211,1685094694680,445.0,432.0
212,1685094694680,496.0,456.0
213,1685094694680,397.0,401.0
214,1685094694680,424.0,411.0
215,1685094694680,417.0,419.0
216,1685094694680,456.0,465.0
217,1685094694680,407.0,456.0
218,1685094694680,452.0,436.0
219,1685094694680,421.0,507.0
220,1685094694680,448.0,410.0
221,1685094694680,427.0,489.0
222,1685094694680,446.0,401.0
223,1685094694680,451.0,447.0
224,1685094694680,442.0,448.0
225,1685094694680,414.0,358.0
226,1685094694680,491.0,483.0
227,1685094694680,431.0,387.0
228,1685094694680,420.0,402.0
229,1685094694680,484.0,435.0
230,1685094694680,417.0,421.0
231,1685094694680,420.0,406.0
232,1685094694680,397.0,418.0
233,1685094694680,454.0,467.0
234,1685094694680,410.0,465.0
235,1685094694680,449.0,440.0
236,1685094694680,414.0,493.0
237,1685094694680,449.0,404.0
238,1685094694680,430.0,488.0
239,1685094694680,444.0,417.0
240,1685094694680,457.0,415.0
241,1685094694680,463.0,479.0
242,1685094694680,406.0,337.0
243,1685094694680,485.0,483.0
244,1685094694680,459.0,418.0
245,1685094694680,384.0,382.0
246,1685094694680,453.0,416.0
247,1685094694680,419.0,424.0
248,1685094694680,420.0,420.0
249,1685094694680,388.0,426.0
250,1685094694680,444.0,453.0
251,1685094694680,421.0,497.0
252,1685094694680,454.0,429.0
253,1685094694680,418.0,498.0
254,1685094694680,463.0,425.0
255,1685094694680,449.0,473.0
256,1685094694680,444.0,430.0
257,1685094694680,444.0,389.0
258,1685094694680,481.0,492.0
259,1685094694680,394.0,354.0
260,1685094694680,456.0,445.0
261,1685094694680,484.0,443.0
262,1685094694680,390.0,391.0
263,1685094694680,423.0,398.0
264,1685094694680,415.0,416.0
265,1685094694680,445.0,449.0
266,1685094694680,394.0,449.0
267,1685094694680,456.0,450.0
268,1685094694680,423.0,507.0
269,1685094694680,460.0,429.0
270,1685094694680,422.0,495.0
271,1685094694680,453.0,414.0
272,1685094694680,455.0,455.0
273,1685094694680,442.0,441.0
274,1685094694680,428.0,362.0
275,1685094694680,490.0,491.0
276,1685094694680,410.0,378.0
277,1685094694680,425.0,409.0
278,1685094694680,497.0,449.0
279,1685094694680,413.0,418.0
280,1685094694680,420.0,412.0
281,1685094694680,403.0,425.0
282,1685094694680,453.0,450.0
283,1685094694680,407.0,477.0
284,1685094694680,464.0,442.0
285,1685094694680,416.0,499.0
286,1685094694680,454.0,408.0
287,1685094694680,422.0,484.0
288,1685094694680,450.0,415.0
289,1685094694680,453.0,430.0
290,1685094694680,446.0,460.0
291,1685094694680,403.0,346.0
292,1685094694680,482.0,482.0
293,1685094694680,440.0,414.0
294,1685094694680,388.0,385.0
295,1685094694680,464.0,424.0
296,1685094694680,424.0,424.0
297,1685094694680,424.0,419.0
298,1685094694680,396.0,422.0
299,1685094694680,445.0,453.0
300,1685094694680,420.0,487.0
301,1685094694680,454.0,430.0
302,1685094694680,418.0,486.0
303,1685094694680,461.0,417.0
304,1685094694680,438.0,475.0
305,1685094694680,447.0,422.0
306,1685094694680,443.0,410.0
307,1685094694680,476.0,481.0
308,1685094694680,409.0,365.0
309,1685094694680,467.0,453.0
310,1685094694680,474.0,440.0
311,1685094694680,387.0,382.0
312,1685094694680,436.0,395.0
313,1685094694680,424.0,425.0
314,1685094694680,434.0,436.0
315,1685094694680,385.0,430.0
316,1685094694680,450.0,442.0
317,1685094694680,425.0,497.0
318,1685094694680,463.0,428.0
319,1685094694680,415.0,490.0
320,1685094694680,463.0,423.0
321,1685094694680,453.0,463.0
322,1685094694680,450.0,436.0
323,1685094694680,436.0,378.0
324,1685094694680,481.0,487.0
325,1685094694680,407.0,367.0
326,1685094694680,436.0,420.0
327,1685094694680,491.0,454.0
328,1685094694680,406.0,408.0
329,1685094694680,416.0,394.0
330,1685094694680,411.0,425.0
331,1685094694680,445.0,454.0
332,1685094694680,404.0,456.0
333,1685094694680,466.0,454.0
334,1685094694680,422.0,487.0
335,1685094694680,461.0,434.0
336,1685094694680,422.0,481.0
337,1685094694680,453.0,420.0
338,1685094694680,459.0,445.0
339,1685094694680,450.0,452.0
340,1685094694680,405.0,355.0
341,1685094694680,484.0,479.0
342,1685094694689,431.0,404.0
343,1685094694689,400.0,389.0
344,1685094694689,478.0,431.0
345,1685094694689,421.0,421.0
346,1685094694689,416.0,420.0
347,1685094694689,401.0,409.0
348,1685094694689,456.0,464.0
349,1685094694689,421.0,480.0
350,1685094694689,460.0,432.0
351,1685094694689,418.0,495.0
352,1685094694689,453.0,409.0
353,1685094694689,430.0,480.0
354,1685094694689,441.0,422.0
355,1685094694689,450.0,424.0
