Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1685098367232,522.0,467.0
1,1685098367240,450.0,444.0
2,1685098367240,345.0,415.0
3,1685098367240,302.0,395.0
4,1685098367240,342.0,396.0
5,1685098367240,416.0,420.0
6,1685098367240,473.0,433.0
7,1685098367242,327.0,421.0
8,1685098367242,529.0,457.0
9,1685098367242,432.0,456.0
10,1685098367242,518.0,426.0
11,1685098367242,416.0,454.0
12,1685098367242,461.0,425.0
13,1685098367242,442.0,447.0
14,1685098367242,432.0,426.0
15,1685098367242,395.0,426.0
16,1685098367242,475.0,449.0
17,1685098367242,378.0,405.0
18,1685098367242,392.0,434.0
19,1685098367242,542.0,476.0
20,1685098367242,370.0,424.0
21,1685098367242,416.0,402.0
22,1685098367242,382.0,452.0
23,1685098367242,471.0,436.0
24,1685098367242,373.0,439.0
25,1685098367242,507.0,440.0
26,1685098367243,394.0,461.0
27,1685098367243,500.0,424.0
28,1685098367243,425.0,443.0
29,1685098367243,509.0,429.0
30,1685098367243,421.0,447.0
31,1685098367243,432.0,433.0
32,1685098367243,390.0,410.0
33,1685098367243,485.0,470.0
34,1685098367243,468.0,428.0
35,1685098367243,362.0,402.0
36,1685098367245,517.0,451.0
37,1685098367245,395.0,435.0
38,1685098367245,370.0,397.0
39,1685098367245,381.0,436.0
40,1685098367245,521.0,438.0
41,1685098367245,378.0,448.0
42,1685098367245,503.0,451.0
43,1685098367245,471.0,454.0
44,1685098367245,497.0,436.0
45,1685098367245,442.0,444.0
46,1685098367245,499.0,435.0
47,1685098367245,418.0,435.0
48,1685098367245,451.0,441.0
49,1685098367245,357.0,405.0
50,1685098367245,427.0,444.0
51,1685098367245,474.0,454.0
52,1685098367245,305.0,397.0
53,1685098367246,446.0,418.0
54,1685098367246,401.0,449.0
55,1685098367246,486.0,415.0
56,1685098367246,375.0,424.0
57,1685098367246,535.0,440.0
58,1685098367246,439.0,448.0
59,1685098367246,536.0,440.0
60,1685098367246,486.0,455.0
61,1685098367246,488.0,430.0
62,1685098367246,443.0,450.0
63,1685098367248,440.0,430.0
64,1685098367248,391.0,416.0
65,1685098367248,471.0,450.0
66,1685098367248,351.0,409.0
67,1685098367248,387.0,424.0
68,1685098367248,526.0,472.0
69,1685098367248,339.0,429.0
70,1685098367248,409.0,401.0
71,1685098367248,434.0,446.0
72,1685098367248,447.0,433.0
73,1685098367248,404.0,441.0
74,1685098367248,532.0,437.0
75,1685098367248,459.0,454.0
76,1685098367249,484.0,425.0
77,1685098367249,453.0,446.0
78,1685098367249,478.0,426.0
79,1685098367249,450.0,442.0
80,1685098367249,445.0,430.0
81,1685098367251,360.0,401.0
82,1685098367251,475.0,463.0
83,1685098367253,492.0,435.0
84,1685098367253,343.0,389.0
85,1685098367253,538.0,451.0
86,1685098367253,431.0,448.0
87,1685098367253,424.0,400.0
88,1685098367253,365.0,424.0
89,1685098367253,510.0,449.0
90,1685098367253,440.0,441.0
91,1685098367253,486.0,437.0
92,1685098367253,425.0,453.0
93,1685098367253,453.0,432.0
94,1685098367253,468.0,448.0
95,1685098367253,475.0,429.0
96,1685098367253,441.0,436.0
97,1685098367254,483.0,438.0
98,1685098367254,388.0,399.0
99,1685098367254,427.0,441.0
100,1685098367254,459.0,460.0
101,1685098367254,275.0,396.0
102,1685098367254,431.0,427.0
103,1685098367254,411.0,449.0
104,1685098367254,458.0,417.0
105,1685098367254,358.0,423.0
106,1685098367254,520.0,446.0
107,1685098367254,428.0,455.0
