Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1685096930061,460.0,464.0
1,1685096930071,451.0,465.0
2,1685096930071,443.0,462.0
3,1685096930071,417.0,455.0
4,1685096930072,399.0,445.0
5,1685096930072,371.0,436.0
6,1685096930072,362.0,432.0
7,1685096930072,487.0,445.0
8,1685096930072,360.0,383.0
9,1685096930072,456.0,440.0
10,1685096930072,448.0,445.0
11,1685096930072,350.0,414.0
12,1685096930072,409.0,417.0
13,1685096930072,392.0,448.0
14,1685096930072,438.0,438.0
15,1685096930072,375.0,438.0
16,1685096930072,500.0,456.0
17,1685096930072,425.0,459.0
18,1685096930074,477.0,425.0
19,1685096930074,442.0,459.0
20,1685096930074,482.0,414.0
21,1685096930074,461.0,448.0
22,1685096930074,456.0,423.0
23,1685096930074,421.0,398.0
24,1685096930074,500.0,467.0
25,1685096930074,384.0,407.0
26,1685096930074,415.0,418.0
27,1685096930074,469.0,451.0
28,1685096930074,373.0,438.0
29,1685096930074,399.0,415.0
30,1685096930074,385.0,437.0
31,1685096930074,474.0,461.0
32,1685096930074,380.0,444.0
33,1685096930074,506.0,450.0
34,1685096930074,444.0,468.0
35,1685096930074,479.0,420.0
36,1685096930074,460.0,459.0
37,1685096930074,477.0,416.0
38,1685096930074,466.0,437.0
39,1685096930075,475.0,437.0
40,1685096930075,382.0,381.0
41,1685096930075,490.0,458.0
42,1685096930075,409.0,430.0
43,1685096930075,361.0,409.0
44,1685096930075,432.0,425.0
45,1685096930075,388.0,444.0
46,1685096930075,404.0,419.0
47,1685096930075,361.0,431.0
48,1685096930075,476.0,450.0
49,1685096930075,407.0,459.0
50,1685096930075,490.0,436.0
51,1685096930075,453.0,459.0
52,1685096930075,498.0,423.0
53,1685096930077,469.0,455.0
54,1685096930077,463.0,414.0
55,1685096930077,445.0,420.0
56,1685096930077,491.0,457.0
57,1685096930077,364.0,381.0
58,1685096930077,452.0,444.0
59,1685096930077,441.0,448.0
60,1685096930077,348.0,416.0
61,1685096930077,404.0,408.0
62,1685096930077,384.0,435.0
63,1685096930077,437.0,447.0
64,1685096930077,370.0,436.0
65,1685096930077,494.0,462.0
66,1685096930077,430.0,459.0
67,1685096930077,495.0,434.0
68,1685096930077,455.0,453.0
69,1685096930077,488.0,417.0
70,1685096930077,470.0,444.0
71,1685096930077,462.0,424.0
72,1685096930077,409.0,400.0
73,1685096930079,499.0,462.0
74,1685096930079,374.0,404.0
75,1685096930079,407.0,421.0
76,1685096930079,467.0,439.0
77,1685096930079,384.0,437.0
78,1685096930079,397.0,416.0
79,1685096930079,377.0,439.0
80,1685096930079,477.0,461.0
81,1685096930081,396.0,446.0
82,1685096930081,501.0,454.0
83,1685096930081,440.0,467.0
84,1685096930081,481.0,421.0
85,1685096930081,450.0,450.0
86,1685096930081,471.0,414.0
87,1685096930081,461.0,441.0
88,1685096930081,472.0,442.0
89,1685096930082,370.0,379.0
90,1685096930082,481.0,445.0
91,1685096930082,414.0,432.0
92,1685096930082,350.0,404.0
93,1685096930082,430.0,425.0
94,1685096930082,392.0,444.0
95,1685096930082,412.0,430.0
96,1685096930082,371.0,436.0
97,1685096930082,491.0,460.0
98,1685096930082,408.0,448.0
99,1685096930082,482.0,431.0
100,1685096930082,449.0,466.0
101,1685096930082,493.0,419.0
102,1685096930082,466.0,449.0
103,1685096930082,460.0,416.0
104,1685096930082,437.0,409.0
105,1685096930084,498.0,457.0
106,1685096930084,371.0,391.0
107,1685096930084,457.0,433.0
108,1685096930084,465.0,453.0
109,1685096930084,359.0,421.0
110,1685096930084,401.0,409.0
111,1685096930084,382.0,440.0
112,1685096930086,442.0,451.0
113,1685096930087,372.0,432.0
114,1685096930087,487.0,459.0
115,1685096930087,434.0,463.0
116,1685096930087,486.0,427.0
117,1685096930087,456.0,460.0
118,1685096930087,495.0,421.0
119,1685096930087,473.0,437.0
120,1685096930087,476.0,434.0
121,1685096930087,398.0,390.0
122,1685096930087,506.0,463.0
123,1685096930087,382.0,413.0
124,1685096930087,394.0,412.0
125,1685096930087,456.0,447.0
126,1685096930087,378.0,435.0
127,1685096930089,392.0,417.0
128,1685096930089,366.0,430.0
129,1685096930089,467.0,453.0
130,1685096930089,393.0,443.0
131,1685096930089,506.0,455.0
132,1685096930089,447.0,465.0
133,1685096930089,491.0,421.0
134,1685096930089,460.0,453.0
135,1685096930089,482.0,417.0
136,1685096930089,463.0,426.0
137,1685096930089,477.0,445.0
138,1685096930089,367.0,379.0
139,1685096930089,472.0,444.0
140,1685096930089,414.0,431.0
141,1685096930089,344.0,406.0
142,1685096930089,418.0,418.0
143,1685096930090,381.0,444.0
144,1685096930090,424.0,439.0
145,1685096930090,367.0,426.0
146,1685096930090,499.0,472.0
147,1685096930090,413.0,457.0
148,1685096930090,489.0,433.0
149,1685096930090,454.0,463.0
150,1685096930090,487.0,417.0
151,1685096930090,466.0,447.0
152,1685096930090,458.0,415.0
153,1685096930090,425.0,402.0
154,1685096930090,496.0,465.0
155,1685096930090,364.0,395.0
156,1685096930090,445.0,435.0
157,1685096930090,467.0,455.0
158,1685096930090,366.0,426.0
159,1685096930090,407.0,414.0
160,1685096930092,392.0,441.0
161,1685096930092,463.0,462.0
162,1685096930092,372.0,433.0
163,1685096930092,492.0,451.0
164,1685096930092,440.0,464.0
165,1685096930092,477.0,416.0
166,1685096930092,452.0,457.0
167,1685096930092,484.0,415.0
168,1685096930092,468.0,438.0
169,1685096930092,465.0,429.0
170,1685096930093,400.0,391.0
171,1685096930093,512.0,462.0
172,1685096930093,393.0,421.0
173,1685096930093,390.0,416.0
174,1685096930093,452.0,440.0
175,1685096930093,392.0,446.0
176,1685096930093,394.0,411.0
177,1685096930093,359.0,435.0
178,1685096930093,471.0,460.0
179,1685096930093,390.0,457.0
180,1685096930093,480.0,446.0
181,1685096930093,441.0,466.0
182,1685096930093,485.0,419.0
183,1685096930093,463.0,456.0
184,1685096930093,474.0,413.0
185,1685096930093,462.0,430.0
186,1685096930093,484.0,452.0
187,1685096930093,378.0,386.0
188,1685096930093,486.0,450.0
189,1685096930093,426.0,429.0
190,1685096930093,355.0,413.0
191,1685096930093,411.0,410.0
192,1685096930095,390.0,439.0
193,1685096930095,418.0,439.0
194,1685096930095,363.0,429.0
195,1685096930095,488.0,458.0
196,1685096930095,416.0,460.0
197,1685096930095,484.0,428.0
198,1685096930095,453.0,471.0
199,1685096930095,490.0,421.0
200,1685096930095,465.0,450.0
201,1685096930095,463.0,413.0
202,1685096930095,431.0,405.0
203,1685096930095,495.0,459.0
204,1685096930095,369.0,394.0
205,1685096930095,441.0,432.0
206,1685096930095,466.0,449.0
207,1685096930095,378.0,431.0
208,1685096930095,402.0,410.0
209,1685096930095,398.0,437.0
210,1685096930095,467.0,462.0
211,1685096930096,385.0,441.0
212,1685096930096,492.0,457.0
213,1685096930096,437.0,466.0
214,1685096930096,474.0,416.0
215,1685096930096,441.0,460.0
216,1685096930096,470.0,412.0
217,1685096930096,458.0,436.0
218,1685096930096,469.0,438.0
219,1685096930096,387.0,385.0
220,1685096930096,508.0,471.0
221,1685096930096,401.0,418.0
222,1685096930096,394.0,412.0
223,1685096930096,465.0,432.0
224,1685096930096,409.0,430.0
225,1685096930096,415.0,426.0
226,1685096930096,380.0,423.0
227,1685096930096,486.0,463.0
228,1685096930098,396.0,451.0
229,1685096930098,479.0,436.0
230,1685096930098,432.0,463.0
231,1685096930098,476.0,421.0
232,1685096930098,449.0,459.0
233,1685096930098,457.0,421.0
234,1685096930098,450.0,423.0
235,1685096930098,492.0,458.0
236,1685096930098,371.0,387.0
237,1685096930098,489.0,450.0
238,1685096930098,447.0,440.0
239,1685096930098,365.0,408.0
240,1685096930098,419.0,410.0
241,1685096930098,407.0,437.0
242,1685096930098,426.0,445.0
243,1685096930098,366.0,418.0
244,1685096930098,482.0,460.0
245,1685096930100,415.0,462.0
246,1685096930100,482.0,430.0
247,1685096930100,441.0,468.0
248,1685096930100,481.0,427.0
249,1685096930100,461.0,455.0
250,1685096930100,456.0,431.0
251,1685096930100,425.0,398.0
252,1685096930100,500.0,477.0
253,1685096930100,375.0,387.0
254,1685096930100,421.0,429.0
255,1685096930100,479.0,443.0
256,1685096930100,385.0,432.0
257,1685096930101,399.0,402.0
258,1685096930101,376.0,408.0
259,1685096930101,466.0,474.0
260,1685096930101,385.0,442.0
261,1685096930101,507.0,456.0
262,1685096930101,439.0,468.0
263,1685096930101,474.0,425.0
264,1685096930101,446.0,462.0
265,1685096930101,453.0,409.0
266,1685096930101,451.0,438.0
267,1685096930101,443.0,444.0
268,1685096930101,377.0,384.0
269,1685096930101,480.0,463.0
270,1685096930101,409.0,418.0
271,1685096930101,371.0,413.0
272,1685096930103,462.0,423.0
273,1685096930103,419.0,444.0
274,1685096930103,421.0,423.0
275,1685096930103,397.0,425.0
276,1685096930103,496.0,470.0
277,1685096930103,424.0,466.0
278,1685096930103,470.0,435.0
279,1685096930103,435.0,473.0
280,1685096930103,457.0,411.0
281,1685096930103,434.0,456.0
282,1685096930103,431.0,417.0
283,1685096930103,435.0,408.0
284,1685096930104,463.0,460.0
285,1685096930106,365.0,377.0
286,1685096930106,473.0,446.0
287,1685096930106,459.0,446.0
288,1685096930106,376.0,405.0
289,1685096930106,431.0,408.0
290,1685096930106,426.0,434.0
291,1685096930106,457.0,458.0
292,1685096930106,398.0,429.0
293,1685096930106,487.0,459.0
294,1685096930106,422.0,461.0
295,1685096930107,469.0,421.0
296,1685096930107,430.0,465.0
297,1685096930107,463.0,414.0
298,1685096930108,448.0,454.0
299,1685096930108,443.0,432.0
300,1685096930108,417.0,393.0
301,1685096930108,491.0,465.0
302,1685096930108,378.0,398.0
303,1685096930108,427.0,417.0
304,1685096930108,479.0,447.0
305,1685096930108,403.0,431.0
306,1685096930108,412.0,404.0
307,1685096930108,409.0,421.0
308,1685096930108,470.0,473.0
309,1685096930109,396.0,442.0
310,1685096930109,496.0,458.0
311,1685096930109,436.0,477.0
312,1685096930109,466.0,421.0
313,1685096930109,445.0,477.0
314,1685096930109,461.0,412.0
315,1685096930109,457.0,433.0
316,1685096930109,445.0,448.0
317,1685096930109,387.0,375.0
318,1685096930110,484.0,462.0
319,1685096930110,406.0,422.0
320,1685096930110,381.0,400.0
321,1685096930110,449.0,417.0
322,1685096930110,422.0,442.0
323,1685096930110,417.0,427.0
324,1685096930110,389.0,420.0
325,1685096930110,490.0,466.0
326,1685096930110,422.0,464.0
327,1685096930110,491.0,440.0
328,1685096930110,441.0,478.0
329,1685096930110,474.0,419.0
330,1685096930110,444.0,462.0
331,1685096930110,437.0,422.0
332,1685096930110,429.0,399.0
333,1685096930110,463.0,466.0
334,1685096930110,363.0,365.0
335,1685096930110,447.0,437.0
336,1685096930110,462.0,447.0
337,1685096930110,373.0,418.0
338,1685096930110,416.0,401.0
339,1685096930110,419.0,441.0
340,1685096930110,462.0,461.0
341,1685096930112,391.0,437.0
342,1685096930112,490.0,463.0
343,1685096930112,424.0,471.0
344,1685096930112,469.0,423.0
345,1685096930112,430.0,472.0
346,1685096930112,445.0,408.0
347,1685096930112,448.0,444.0
348,1685096930112,434.0,433.0
349,1685096930112,408.0,386.0
350,1685096930112,484.0,476.0
351,1685096930112,397.0,405.0
352,1685096930112,405.0,409.0
353,1685096930112,483.0,445.0
354,1685096930112,407.0,433.0
355,1685096930112,419.0,414.0
356,1685096930112,399.0,427.0
357,1685096930112,480.0,466.0
358,1685096930112,410.0,458.0
359,1685096930112,488.0,451.0
360,1685096930112,432.0,481.0
361,1685096930112,463.0,415.0
362,1685096930112,440.0,468.0
363,1685096930112,446.0,414.0
364,1685096930112,457.0,428.0
365,1685096930112,441.0,452.0
366,1685096930112,388.0,369.0
367,1685096930112,471.0,461.0
368,1685096930112,434.0,430.0
369,1685096930112,356.0,388.0
370,1685096930112,448.0,411.0
371,1685096930112,419.0,435.0
372,1685096930112,431.0,428.0
373,1685096930112,389.0,428.0
374,1685096930112,481.0,462.0
375,1685096930112,420.0,464.0
376,1685096930112,477.0,436.0
377,1685096930112,447.0,482.0
378,1685096930112,473.0,425.0
379,1685096930112,452.0,459.0
380,1685096930112,429.0,421.0
381,1685096930112,434.0,400.0
382,1685096930112,463.0,468.0
383,1685096930112,368.0,368.0
384,1685096930112,445.0,434.0
385,1685096930112,473.0,445.0
386,1685096930112,389.0,413.0
387,1685096930112,417.0,398.0
388,1685096930112,420.0,438.0
389,1685096930112,458.0,453.0
390,1685096930112,404.0,450.0
391,1685096930112,480.0,464.0
392,1685096930112,431.0,472.0
393,1685096930112,465.0,436.0
394,1685096930112,436.0,460.0
395,1685096930112,455.0,412.0
396,1685096930112,457.0,447.0
397,1685096930112,431.0,431.0
398,1685096930112,413.0,373.0
399,1685096930112,485.0,469.0
400,1685096930112,390.0,398.0
401,1685096930112,416.0,404.0
402,1685096930112,464.0,436.0
403,1685096930112,422.0,438.0
404,1685096930112,407.0,411.0
405,1685096930112,406.0,433.0
406,1685096930112,467.0,467.0
407,1685096930112,415.0,456.0
408,1685096930112,479.0,449.0
409,1685096930112,429.0,476.0
410,1685096930112,461.0,425.0
411,1685096930112,439.0,470.0
412,1685096930112,447.0,414.0
413,1685096930112,452.0,426.0
414,1685096930112,447.0,455.0
415,1685096930112,388.0,365.0
416,1685096930112,478.0,452.0
417,1685096930112,429.0,438.0
418,1685096930112,393.0,395.0
419,1685096930112,433.0,408.0
420,1685096930112,437.0,446.0
421,1685096930112,412.0,433.0
422,1685096930112,405.0,428.0
423,1685096930112,465.0,465.0
424,1685096930112,410.0,461.0
425,1685096930112,466.0,436.0
426,1685096930112,434.0,475.0
427,1685096930112,458.0,410.0
428,1685096930112,448.0,460.0
429,1685096930112,436.0,418.0
430,1685096930112,434.0,393.0
431,1685096930112,478.0,469.0
432,1685096930112,378.0,383.0
433,1685096930112,477.0,432.0
434,1685096930112,455.0,448.0
435,1685096930112,417.0,421.0
436,1685096930112,405.0,394.0
437,1685096930112,431.0,432.0
438,1685096930112,434.0,455.0
439,1685096930112,400.0,443.0
440,1685096930112,463.0,458.0
441,1685096930112,425.0,475.0
442,1685096930112,455.0,419.0
443,1685096930112,432.0,475.0
444,1685096930112,463.0,412.0
445,1685096930112,458.0,451.0
446,1685096930112,449.0,442.0
447,1685096930112,420.0,382.0
448,1685096930112,502.0,471.0
449,1685096930112,393.0,409.0
450,1685096930112,428.0,399.0
451,1685096930112,446.0,420.0
452,1685096930112,434.0,443.0
453,1685096930112,387.0,404.0
454,1685096930112,403.0,424.0
455,1685096930112,445.0,467.0
456,1685096930112,403.0,457.0
457,1685096930112,465.0,442.0
458,1685096930112,426.0,485.0
459,1685096930112,468.0,420.0
460,1685096930112,444.0,470.0
461,1685096930112,457.0,419.0
462,1685096930112,457.0,420.0
463,1685096930112,465.0,456.0
464,1685096930112,383.0,367.0
465,1685096930112,490.0,437.0
466,1685096930112,421.0,434.0
467,1685096930112,400.0,403.0
468,1685096930112,411.0,403.0
469,1685096930112,432.0,441.0
470,1685096930112,406.0,448.0
471,1685096930112,402.0,437.0
472,1685096930112,463.0,469.0
473,1685096930112,415.0,467.0
474,1685096930112,465.0,431.0
475,1685096930112,430.0,468.0
476,1685096930112,465.0,411.0
477,1685096930112,449.0,453.0
478,1685096930112,444.0,411.0
479,1685096930112,438.0,396.0
480,1685096930112,487.0,471.0
481,1685096930112,375.0,386.0
482,1685096930112,473.0,428.0
483,1685096930112,460.0,450.0
484,1685096930112,422.0,429.0
485,1685096930112,401.0,403.0
486,1685096930112,425.0,435.0
487,1685096930112,440.0,467.0
488,1685096930112,394.0,447.0
489,1685096930112,472.0,456.0
490,1685096930112,423.0,475.0
491,1685096930112,458.0,421.0
492,1685096930112,430.0,474.0
493,1685096930112,456.0,414.0
494,1685096930112,459.0,443.0
495,1685096930112,456.0,444.0
496,1685096930112,408.0,374.0
497,1685096930112,507.0,472.0
498,1685096930112,404.0,419.0
499,1685096930112,421.0,399.0
500,1685096930112,440.0,424.0
501,1685096930112,434.0,441.0
502,1685096930112,391.0,417.0
503,1685096930112,397.0,429.0
504,1685096930112,443.0,464.0
505,1685096930112,398.0,454.0
506,1685096930112,462.0,444.0
507,1685096930112,426.0,469.0
508,1685096930112,473.0,427.0
509,1685096930112,451.0,471.0
510,1685096930112,459.0,411.0
511,1685096930112,460.0,419.0
512,1685096930112,473.0,457.0
513,1685096930112,387.0,369.0
514,1685096930112,490.0,443.0
515,1685096930112,428.0,435.0
516,1685096930112,397.0,403.0
517,1685096930112,407.0,398.0
518,1685096930112,423.0,438.0
519,1685096930112,406.0,441.0
520,1685096930112,388.0,432.0
521,1685096930112,462.0,466.0
522,1685096930112,408.0,469.0
523,1685096930112,461.0,433.0
524,1685096930112,431.0,470.0
525,1685096930112,470.0,410.0
526,1685096930112,460.0,460.0
527,1685096930112,450.0,422.0
