Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1685097184453,508.0,425.0
1,1685097184453,514.0,419.0
2,1685097184453,506.0,416.0
3,1685097184453,509.0,421.0
4,1685097184453,513.0,433.0
5,1685097184453,511.0,442.0
6,1685097184453,495.0,448.0
7,1685097184453,362.0,399.0
8,1685097184453,443.0,432.0
9,1685097184453,456.0,468.0
10,1685097184453,312.0,405.0
11,1685097184453,405.0,405.0
12,1685097184453,382.0,455.0
13,1685097184453,412.0,418.0
14,1685097184453,361.0,438.0
15,1685097184453,488.0,449.0
16,1685097184453,424.0,465.0
17,1685097184453,506.0,424.0
18,1685097184453,453.0,451.0
19,1685097184453,522.0,411.0
20,1685097184453,477.0,427.0
21,1685097184453,495.0,438.0
22,1685097184467,446.0,419.0
23,1685097184467,484.0,449.0
24,1685097184467,360.0,405.0
25,1685097184467,444.0,426.0
26,1685097184467,430.0,458.0
27,1685097184467,319.0,419.0
28,1685097184467,406.0,413.0
29,1685097184467,373.0,461.0
30,1685097184469,417.0,411.0
31,1685097184469,368.0,447.0
32,1685097184469,484.0,421.0
33,1685097184470,432.0,438.0
34,1685097184470,504.0,424.0
35,1685097184470,454.0,455.0
36,1685097184470,515.0,430.0
37,1685097184470,468.0,442.0
38,1685097184470,485.0,426.0
39,1685097184470,449.0,419.0
40,1685097184470,480.0,441.0
41,1685097184470,358.0,399.0
42,1685097184470,446.0,431.0
43,1685097184470,433.0,461.0
44,1685097184470,321.0,406.0
45,1685097184470,410.0,399.0
46,1685097184470,394.0,453.0
47,1685097184470,403.0,415.0
48,1685097184470,376.0,448.0
49,1685097184470,502.0,441.0
50,1685097184470,420.0,462.0
51,1685097184470,513.0,438.0
52,1685097184470,453.0,443.0
53,1685097184470,513.0,431.0
54,1685097184470,459.0,425.0
55,1685097184470,489.0,435.0
56,1685097184470,453.0,419.0
57,1685097184470,493.0,451.0
58,1685097184470,363.0,398.0
59,1685097184470,457.0,436.0
60,1685097184470,429.0,447.0
61,1685097184470,321.0,410.0
62,1685097184470,424.0,421.0
63,1685097184470,381.0,447.0
64,1685097184470,399.0,432.0
65,1685097184470,371.0,436.0
66,1685097184470,490.0,452.0
67,1685097184470,423.0,453.0
68,1685097184470,501.0,435.0
69,1685097184470,454.0,444.0
70,1685097184470,507.0,429.0
71,1685097184470,460.0,443.0
72,1685097184470,492.0,430.0
73,1685097184470,450.0,436.0
74,1685097184470,481.0,445.0
75,1685097184470,366.0,403.0
76,1685097184470,458.0,442.0
77,1685097184470,414.0,454.0
78,1685097184470,315.0,406.0
79,1685097184470,419.0,425.0
80,1685097184470,376.0,455.0
81,1685097184470,388.0,413.0
82,1685097184470,361.0,440.0
83,1685097184470,486.0,446.0
84,1685097184470,420.0,445.0
85,1685097184470,515.0,443.0
86,1685097184470,458.0,459.0
87,1685097184470,518.0,424.0
88,1685097184470,462.0,450.0
89,1685097184470,509.0,436.0
90,1685097184470,459.0,427.0
91,1685097184470,486.0,442.0
