Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1685095701139,493.0,443.0
1,1685095701144,476.0,433.0
2,1685095701144,469.0,430.0
3,1685095701144,468.0,432.0
4,1685095701144,476.0,442.0
5,1685095701144,473.0,449.0
6,1685095701144,472.0,456.0
7,1685095701144,402.0,376.0
8,1685095701144,499.0,454.0
9,1685095701144,462.0,436.0
10,1685095701144,375.0,401.0
11,1685095701144,406.0,389.0
12,1685095701144,403.0,421.0
13,1685095701144,413.0,434.0
14,1685095701144,361.0,443.0
15,1685095701144,467.0,457.0
16,1685095701144,408.0,483.0
17,1685095701144,470.0,427.0
18,1685095701144,431.0,470.0
19,1685095701144,484.0,432.0
20,1685095701144,462.0,445.0
21,1685095701144,461.0,437.0
22,1685095701144,426.0,399.0
23,1685095701144,511.0,453.0
24,1685095701144,404.0,410.0
25,1685095701144,406.0,385.0
26,1685095701144,463.0,424.0
27,1685095701144,398.0,422.0
28,1685095701144,384.0,410.0
29,1685095701144,375.0,419.0
30,1685095701144,464.0,475.0
31,1685095701144,394.0,467.0
32,1685095701144,474.0,434.0
33,1685095701144,420.0,479.0
34,1685095701144,480.0,423.0
35,1685095701144,438.0,460.0
36,1685095701145,473.0,429.0
37,1685095701145,456.0,410.0
38,1685095701145,489.0,464.0
39,1685095701145,388.0,370.0
40,1685095701145,485.0,436.0
41,1685095701145,478.0,445.0
42,1685095701145,378.0,400.0
43,1685095701145,414.0,409.0
44,1685095701145,404.0,423.0
45,1685095701145,424.0,444.0
46,1685095701145,367.0,452.0
47,1685095701145,463.0,451.0
48,1685095701145,415.0,492.0
49,1685095701145,472.0,421.0
50,1685095701145,424.0,477.0
51,1685095701145,485.0,419.0
52,1685095701145,469.0,450.0
53,1685095701145,462.0,443.0
54,1685095701145,412.0,373.0
55,1685095701145,522.0,475.0
56,1685095701145,426.0,426.0
57,1685095701145,394.0,391.0
58,1685095701145,460.0,429.0
59,1685095701145,408.0,420.0
60,1685095701145,383.0,411.0
61,1685095701145,359.0,417.0
62,1685095701145,467.0,468.0
63,1685095701147,391.0,469.0
64,1685095701147,465.0,433.0
65,1685095701147,422.0,471.0
66,1685095701147,485.0,430.0
67,1685095701147,452.0,461.0
68,1685095701147,463.0,432.0
69,1685095701147,452.0,400.0
70,1685095701147,514.0,484.0
71,1685095701147,390.0,381.0
72,1685095701147,463.0,428.0
73,1685095701147,488.0,441.0
74,1685095701147,382.0,415.0
75,1685095701147,390.0,402.0
76,1685095701147,395.0,424.0
77,1685095701147,435.0,455.0
78,1685095701147,351.0,440.0
79,1685095701147,476.0,447.0
80,1685095701147,423.0,496.0
81,1685095701147,482.0,423.0
82,1685095701147,441.0,468.0
83,1685095701147,485.0,425.0
84,1685095701147,472.0,427.0
85,1685095701147,467.0,465.0
86,1685095701147,398.0,362.0
87,1685095701147,501.0,476.0
88,1685095701147,425.0,418.0
89,1685095701147,376.0,404.0
90,1685095701147,436.0,417.0
91,1685095701147,408.0,415.0
92,1685095701147,386.0,427.0
93,1685095701147,369.0,430.0
94,1685095701147,486.0,469.0
95,1685095701147,406.0,479.0
96,1685095701147,474.0,422.0
97,1685095701147,436.0,485.0
98,1685095701147,480.0,425.0
99,1685095701147,448.0,448.0
100,1685095701147,464.0,423.0
101,1685095701147,441.0,395.0
102,1685095701147,502.0,477.0
103,1685095701147,398.0,378.0
104,1685095701147,453.0,417.0
105,1685095701147,492.0,449.0
106,1685095701147,396.0,422.0
107,1685095701147,392.0,415.0
108,1685095701147,380.0,415.0
109,1685095701147,458.0,472.0
110,1685095701147,366.0,451.0
111,1685095701147,473.0,434.0
112,1685095701147,416.0,486.0
113,1685095701147,475.0,429.0
114,1685095701147,433.0,464.0
115,1685095701147,474.0,420.0
116,1685095701147,471.0,430.0
117,1685095701147,481.0,461.0
118,1685095701147,398.0,367.0
119,1685095701147,507.0,458.0
120,1685095701147,451.0,437.0
121,1685095701147,378.0,401.0
122,1685095701147,422.0,415.0
123,1685095701147,407.0,430.0
124,1685095701147,400.0,432.0
125,1685095701147,340.0,427.0
126,1685095701147,467.0,459.0
127,1685095701147,390.0,484.0
128,1685095701147,469.0,421.0
129,1685095701147,424.0,473.0
130,1685095701147,488.0,432.0
131,1685095701147,464.0,451.0
132,1685095701147,462.0,430.0
133,1685095701147,452.0,394.0
134,1685095701147,524.0,481.0
135,1685095701147,401.0,408.0
136,1685095701147,428.0,397.0
137,1685095701147,481.0,425.0
138,1685095701147,393.0,424.0
139,1685095701147,369.0,389.0
140,1685095701147,368.0,424.0
141,1685095701147,450.0,456.0
142,1685095701147,370.0,458.0
143,1685095701147,477.0,432.0
144,1685095701147,424.0,490.0
145,1685095701147,492.0,424.0
146,1685095701147,448.0,470.0
147,1685095701147,477.0,422.0
148,1685095701147,470.0,431.0
149,1685095701147,484.0,457.0
150,1685095701147,394.0,373.0
151,1685095701147,491.0,444.0
152,1685095701147,456.0,442.0
153,1685095701147,372.0,397.0
154,1685095701147,404.0,395.0
155,1685095701147,405.0,429.0
156,1685095701147,430.0,444.0
157,1685095701147,361.0,437.0
158,1685095701147,476.0,449.0
159,1685095701147,415.0,484.0
160,1685095701147,472.0,428.0
161,1685095701147,424.0,466.0
162,1685095701147,481.0,427.0
163,1685095701147,454.0,440.0
164,1685095701147,464.0,436.0
165,1685095701147,420.0,383.0
166,1685095701147,515.0,464.0
167,1685095701147,406.0,401.0
168,1685095701147,397.0,395.0
169,1685095701147,476.0,436.0
170,1685095701147,408.0,431.0
171,1685095701147,381.0,413.0
172,1685095701147,371.0,413.0
173,1685095701147,467.0,465.0
174,1685095701147,391.0,470.0
175,1685095701147,469.0,441.0
176,1685095701147,412.0,470.0
177,1685095701147,478.0,420.0
178,1685095701147,444.0,453.0
179,1685095701147,470.0,432.0
180,1685095701147,463.0,411.0
181,1685095701147,495.0,467.0
182,1685095701147,392.0,380.0
183,1685095701147,493.0,444.0
184,1685095701147,485.0,454.0
185,1685095701147,388.0,412.0
186,1685095701147,395.0,409.0
187,1685095701147,395.0,425.0
188,1685095701147,435.0,445.0
189,1685095701147,348.0,443.0
190,1685095701147,462.0,441.0
191,1685095701147,406.0,479.0
192,1685095701147,472.0,431.0
193,1685095701147,442.0,474.0
194,1685095701147,487.0,423.0
195,1685095701147,469.0,447.0
196,1685095701147,471.0,442.0
197,1685095701147,416.0,377.0
198,1685095701147,526.0,467.0
199,1685095701147,415.0,418.0
200,1685095701147,380.0,385.0
201,1685095701147,450.0,415.0
202,1685095701147,410.0,439.0
203,1685095701147,382.0,418.0
204,1685095701147,343.0,411.0
205,1685095701147,465.0,453.0
206,1685095701147,396.0,483.0
207,1685095701147,469.0,436.0
208,1685095701147,433.0,484.0
209,1685095701147,490.0,430.0
210,1685095701147,450.0,461.0
211,1685095701147,469.0,419.0
212,1685095701147,464.0,418.0
213,1685095701147,499.0,455.0
214,1685095701147,381.0,388.0
215,1685095701147,473.0,419.0
216,1685095701147,479.0,445.0
217,1685095701147,389.0,405.0
218,1685095701147,390.0,411.0
219,1685095701147,418.0,441.0
220,1685095701147,452.0,454.0
221,1685095701147,356.0,453.0
222,1685095701147,472.0,450.0
223,1685095701147,412.0,493.0
224,1685095701147,467.0,414.0
225,1685095701147,436.0,468.0
226,1685095701147,475.0,421.0
227,1685095701147,466.0,433.0
228,1685095701147,473.0,447.0
229,1685095701147,402.0,371.0
230,1685095701147,522.0,471.0
231,1685095701147,428.0,421.0
232,1685095701147,383.0,402.0
233,1685095701147,438.0,417.0
234,1685095701147,415.0,434.0
235,1685095701147,407.0,447.0
236,1685095701147,357.0,413.0
237,1685095701147,479.0,460.0
238,1685095701147,399.0,476.0
239,1685095701147,457.0,415.0
240,1685095701147,413.0,476.0
241,1685095701147,477.0,424.0
242,1685095701147,455.0,463.0
243,1685095701147,464.0,425.0
244,1685095701147,454.0,400.0
245,1685095701147,514.0,481.0
