Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1684923411405,461.0,440.0
1,1684923411450,461.0,437.0
2,1684923411450,458.0,448.0
3,1684923411450,460.0,459.0
4,1684923411450,457.0,464.0
5,1684923411450,462.0,473.0
6,1684923411450,459.0,468.0
7,1684923411450,451.0,429.0
8,1684923411450,449.0,464.0
9,1684923411450,416.0,383.0
10,1684923411450,407.0,450.0
11,1684923411450,410.0,434.0
12,1684923411450,445.0,474.0
13,1684923411450,429.0,419.0
14,1684923411450,423.0,443.0
15,1684923411450,458.0,469.0
16,1684923411450,428.0,423.0
17,1684923411450,454.0,445.0
18,1684923411450,436.0,433.0
19,1684923411450,453.0,448.0
20,1684923411450,450.0,399.0
21,1684923411450,412.0,423.0
22,1684923411450,454.0,428.0
23,1684923411450,437.0,429.0
24,1684923411450,407.0,377.0
25,1684923411450,417.0,472.0
26,1684923411450,423.0,434.0
27,1684923411450,434.0,449.0
28,1684923411450,406.0,405.0
29,1684923411450,428.0,458.0
30,1684923411450,465.0,468.0
31,1684923411450,423.0,435.0
32,1684923411450,458.0,454.0
33,1684923411450,436.0,434.0
34,1684923411450,462.0,444.0
35,1684923411450,441.0,411.0
36,1684923411450,418.0,440.0
37,1684923411450,461.0,423.0
38,1684923411450,420.0,423.0
39,1684923411450,422.0,411.0
40,1684923411450,435.0,491.0
41,1684923411450,428.0,418.0
42,1684923411450,416.0,438.0
43,1684923411450,397.0,411.0
44,1684923411450,433.0,473.0
45,1684923411450,455.0,455.0
46,1684923411450,418.0,437.0
47,1684923411450,456.0,457.0
48,1684923411450,433.0,431.0
49,1684923411450,458.0,436.0
50,1684923411450,438.0,420.0
51,1684923411450,441.0,452.0
52,1684923411450,459.0,420.0
53,1684923411450,413.0,418.0
54,1684923411450,440.0,426.0
55,1684923411450,454.0,478.0
56,1684923411450,426.0,400.0
57,1684923411450,409.0,444.0
58,1684923411450,409.0,432.0
59,1684923411450,441.0,483.0
60,1684923411450,443.0,432.0
61,1684923411450,425.0,444.0
62,1684923411450,458.0,463.0
63,1684923411450,432.0,427.0
64,1684923411450,447.0,437.0
65,1684923411450,436.0,426.0
66,1684923411450,445.0,449.0
67,1684923411450,456.0,405.0
68,1684923411450,412.0,423.0
69,1684923411450,452.0,426.0
70,1684923411450,446.0,444.0
71,1684923411450,418.0,382.0
72,1684923411450,415.0,463.0
73,1684923411450,414.0,435.0
74,1684923411450,442.0,461.0
75,1684923411450,418.0,413.0
76,1684923411450,421.0,454.0
77,1684923411450,459.0,466.0
78,1684923411450,427.0,427.0
79,1684923411450,451.0,444.0
80,1684923411450,440.0,434.0
81,1684923411450,449.0,443.0
82,1684923411450,447.0,406.0
83,1684923411450,417.0,430.0
84,1684923411450,457.0,427.0
85,1684923411450,422.0,426.0
86,1684923411450,409.0,401.0
