Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1685094327840,503.0,432.0
1,1685094327846,472.0,409.0
2,1685094327847,448.0,390.0
3,1685094327847,435.0,382.0
4,1685094327847,438.0,395.0
5,1685094327847,459.0,413.0
6,1685094327847,474.0,434.0
7,1685094327847,472.0,445.0
8,1685094327847,382.0,436.0
9,1685094327847,455.0,459.0
10,1685094327847,391.0,450.0
11,1685094327847,478.0,447.0
12,1685094327847,400.0,466.0
13,1685094327847,481.0,426.0
14,1685094327847,425.0,446.0
15,1685094327847,479.0,431.0
16,1685094327847,479.0,437.0
17,1685094327847,472.0,437.0
18,1685094327847,450.0,385.0
19,1685094327847,454.0,446.0
20,1685094327847,503.0,429.0
21,1685094327847,330.0,397.0
22,1685094327847,434.0,433.0
23,1685094327847,375.0,439.0
24,1685094327847,392.0,426.0
25,1685094327847,349.0,428.0
26,1685094327847,460.0,446.0
27,1685094327847,400.0,463.0
28,1685094327847,486.0,435.0
29,1685094327847,424.0,455.0
30,1685094327847,512.0,435.0
31,1685094327847,475.0,432.0
32,1685094327847,471.0,436.0
33,1685094327847,477.0,418.0
34,1685094327847,478.0,449.0
35,1685094327847,444.0,397.0
36,1685094327847,375.0,430.0
37,1685094327847,503.0,447.0
38,1685094327847,341.0,416.0
39,1685094327847,373.0,411.0
40,1685094327847,358.0,423.0
41,1685094327847,439.0,448.0
42,1685094327847,393.0,451.0
43,1685094327847,504.0,444.0
44,1685094327847,431.0,468.0
45,1685094327847,525.0,434.0
46,1685094327847,460.0,457.0
47,1685094327847,492.0,435.0
48,1685094327847,489.0,440.0
49,1685094327847,461.0,443.0
50,1685094327847,424.0,384.0
51,1685094327847,427.0,438.0
52,1685094327847,466.0,415.0
53,1685094327847,311.0,396.0
54,1685094327847,427.0,430.0
55,1685094327847,380.0,442.0
56,1685094327847,405.0,432.0
57,1685094327847,372.0,440.0
58,1685094327847,474.0,456.0
59,1685094327847,410.0,456.0
60,1685094327847,504.0,445.0
61,1685094327847,433.0,463.0
62,1685094327847,500.0,435.0
63,1685094327847,468.0,447.0
64,1685094327847,464.0,420.0
65,1685094327847,452.0,409.0
66,1685094327847,464.0,449.0
67,1685094327847,444.0,392.0
68,1685094327847,388.0,422.0
69,1685094327847,514.0,449.0
70,1685094327847,353.0,417.0
71,1685094327847,395.0,421.0
72,1685094327847,377.0,442.0
73,1685094327847,460.0,458.0
74,1685094327847,384.0,452.0
75,1685094327847,489.0,444.0
76,1685094327847,410.0,465.0
