Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1685095396102,509.0,440.0
1,1685095396109,524.0,463.0
2,1685095396109,516.0,469.0
3,1685095396109,497.0,463.0
4,1685095396109,478.0,449.0
5,1685095396109,469.0,436.0
6,1685095396109,473.0,428.0
7,1685095396109,378.0,411.0
8,1685095396109,397.0,449.0
9,1685095396109,427.0,436.0
10,1685095396109,400.0,485.0
11,1685095396110,460.0,440.0
12,1685095396110,399.0,467.0
13,1685095396110,477.0,425.0
14,1685095396110,434.0,451.0
15,1685095396110,468.0,437.0
16,1685095396110,462.0,403.0
17,1685095396110,508.0,464.0
18,1685095396110,392.0,391.0
19,1685095396110,496.0,417.0
20,1685095396110,489.0,463.0
21,1685095396110,406.0,394.0
22,1685095396110,396.0,402.0
23,1685095396110,418.0,436.0
24,1685095396110,389.0,424.0
25,1685095396110,376.0,459.0
26,1685095396110,430.0,438.0
27,1685095396110,389.0,469.0
28,1685095396110,466.0,437.0
29,1685095396110,411.0,465.0
30,1685095396110,487.0,441.0
31,1685095396110,473.0,441.0
32,1685095396110,484.0,452.0
33,1685095396110,426.0,384.0
34,1685095396110,533.0,462.0
35,1685095396110,419.0,436.0
36,1685095396110,412.0,381.0
37,1685095396110,466.0,425.0
38,1685095396110,415.0,421.0
39,1685095396110,362.0,389.0
40,1685095396110,389.0,441.0
41,1685095396110,414.0,441.0
42,1685095396110,396.0,480.0
43,1685095396110,461.0,447.0
44,1685095396110,391.0,473.0
45,1685095396110,484.0,437.0
46,1685095396110,443.0,462.0
47,1685095396110,474.0,429.0
48,1685095396110,476.0,417.0
49,1685095396110,512.0,464.0
50,1685095396110,395.0,373.0
51,1685095396110,504.0,423.0
52,1685095396110,475.0,461.0
53,1685095396110,391.0,386.0
54,1685095396110,408.0,398.0
55,1685095396110,424.0,442.0
56,1685095396110,388.0,431.0
57,1685095396110,384.0,458.0
58,1685095396110,427.0,438.0
59,1685095396110,399.0,476.0
60,1685095396110,471.0,438.0
61,1685095396110,412.0,462.0
62,1685095396110,486.0,429.0
63,1685095396110,454.0,437.0
64,1685095396110,482.0,443.0
65,1685095396110,435.0,379.0
66,1685095396110,525.0,464.0
67,1685095396110,411.0,423.0
68,1685095396110,441.0,391.0
69,1685095396110,480.0,455.0
70,1685095396110,421.0,421.0
71,1685095396110,377.0,398.0
72,1685095396110,407.0,437.0
73,1685095396110,422.0,445.0
74,1685095396110,397.0,472.0
75,1685095396110,452.0,434.0
76,1685095396110,389.0,471.0
77,1685095396110,469.0,426.0
78,1685095396110,419.0,461.0
79,1685095396110,475.0,419.0
80,1685095396110,463.0,412.0
81,1685095396110,503.0,459.0
82,1685095396110,409.0,397.0
83,1685095396110,525.0,442.0
84,1685095396110,469.0,467.0
85,1685095396110,396.0,393.0
86,1685095396110,423.0,399.0
87,1685095396110,424.0,436.0
88,1685095396110,374.0,420.0
89,1685095396110,367.0,443.0
90,1685095396110,417.0,441.0
91,1685095396110,383.0,480.0
92,1685095396110,459.0,435.0
93,1685095396110,406.0,477.0
94,1685095396110,493.0,443.0
95,1685095396110,469.0,451.0
96,1685095396110,487.0,439.0
97,1685095396110,461.0,384.0
98,1685095396110,529.0,459.0
99,1685095396110,396.0,390.0
100,1685095396110,456.0,407.0
101,1685095396110,483.0,451.0
102,1685095396110,408.0,420.0
103,1685095396110,374.0,398.0
104,1685095396110,392.0,432.0
105,1685095396110,403.0,440.0
106,1685095396110,378.0,463.0
107,1685095396110,454.0,451.0
108,1685095396110,396.0,475.0
109,1685095396110,485.0,439.0
110,1685095396110,426.0,458.0
111,1685095396110,483.0,430.0
112,1685095396110,483.0,434.0
113,1685095396110,478.0,456.0
114,1685095396110,407.0,371.0
115,1685095396110,515.0,441.0
116,1685095396110,448.0,446.0
117,1685095396110,405.0,378.0
118,1685095396110,439.0,415.0
119,1685095396110,423.0,439.0
120,1685095396110,376.0,417.0
121,1685095396110,375.0,442.0
122,1685095396110,430.0,454.0
123,1685095396110,393.0,457.0
124,1685095396110,461.0,439.0
125,1685095396110,394.0,459.0
126,1685095396110,482.0,432.0
127,1685095396110,442.0,451.0
128,1685095396110,466.0,437.0
129,1685095396110,456.0,389.0
130,1685095396110,532.0,477.0
131,1685095396110,397.0,393.0
132,1685095396110,490.0,414.0
133,1685095396110,498.0,467.0
134,1685095396110,404.0,396.0
135,1685095396110,388.0,402.0
136,1685095396110,416.0,437.0
137,1685095396110,406.0,436.0
138,1685095396110,373.0,458.0
139,1685095396110,440.0,446.0
140,1685095396110,385.0,469.0
141,1685095396110,468.0,436.0
142,1685095396110,416.0,457.0
143,1685095396110,484.0,433.0
144,1685095396110,474.0,436.0
145,1685095396110,487.0,449.0
146,1685095396110,424.0,373.0
147,1685095396110,527.0,445.0
148,1685095396110,436.0,433.0
149,1685095396110,410.0,386.0
150,1685095396110,454.0,421.0
151,1685095396110,420.0,435.0
152,1685095396110,361.0,399.0
153,1685095396110,367.0,432.0
154,1685095396116,414.0,447.0
155,1685095396116,379.0,475.0
156,1685095396116,460.0,444.0
157,1685095396116,393.0,470.0
158,1685095396116,486.0,442.0
159,1685095396116,446.0,457.0
160,1685095396116,486.0,439.0
161,1685095396116,475.0,396.0
162,1685095396116,518.0,472.0
163,1685095396116,395.0,389.0
164,1685095396116,494.0,408.0
165,1685095396116,487.0,458.0
166,1685095396116,389.0,398.0
167,1685095396116,390.0,393.0
168,1685095396116,399.0,436.0
169,1685095396116,390.0,426.0
170,1685095396116,372.0,464.0
171,1685095396116,440.0,447.0
172,1685095396116,397.0,482.0
173,1685095396116,489.0,449.0
174,1685095396116,416.0,469.0
175,1685095396116,488.0,432.0
176,1685095396116,476.0,435.0
177,1685095396116,485.0,450.0
178,1685095396116,425.0,370.0
179,1685095396116,527.0,452.0
180,1685095396116,406.0,413.0
181,1685095396116,417.0,386.0
182,1685095396116,466.0,432.0
183,1685095396116,405.0,421.0
184,1685095396116,382.0,410.0
185,1685095396116,397.0,447.0
186,1685095396116,430.0,448.0
187,1685095396116,401.0,480.0
188,1685095396116,452.0,441.0
189,1685095396116,384.0,469.0
190,1685095396116,480.0,435.0
191,1685095396116,430.0,459.0
192,1685095396116,470.0,427.0
193,1685095396116,464.0,413.0
194,1685095396116,508.0,468.0
195,1685095396116,398.0,382.0
196,1685095396116,578.0,462.0
197,1685095396116,503.0,458.0
198,1685095396116,392.0,395.0
199,1685095396116,413.0,404.0
200,1685095396116,431.0,453.0
201,1685095396116,391.0,437.0
202,1685095396116,367.0,442.0
203,1685095396116,432.0,440.0
204,1685095396116,382.0,476.0
205,1685095396119,460.0,431.0
206,1685095396119,403.0,458.0
207,1685095396119,485.0,442.0
208,1685095396119,468.0,446.0
209,1685095396119,480.0,447.0
210,1685095396119,445.0,390.0
211,1685095396119,539.0,472.0
212,1685095396119,421.0,415.0
213,1685095396119,448.0,396.0
214,1685095396119,475.0,443.0
215,1685095396119,404.0,407.0
216,1685095396119,360.0,399.0
217,1685095396119,380.0,420.0
218,1685095396119,400.0,438.0
219,1685095396119,377.0,474.0
