Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1685096469239,465.0,485.0
1,1685096469248,470.0,487.0
2,1685096469249,455.0,481.0
3,1685096469249,432.0,468.0
4,1685096469249,402.0,445.0
5,1685096469249,383.0,428.0
6,1685096469249,390.0,426.0
7,1685096469249,467.0,436.0
8,1685096469249,346.0,373.0
9,1685096469249,497.0,461.0
10,1685096469249,348.0,398.0
11,1685096469249,338.0,392.0
12,1685096469249,458.0,425.0
13,1685096469249,366.0,434.0
14,1685096469249,376.0,417.0
15,1685096469249,378.0,431.0
16,1685096469249,508.0,475.0
17,1685096469249,435.0,462.0
18,1685096469249,520.0,448.0
19,1685096469249,452.0,464.0
20,1685096469249,524.0,437.0
21,1685096469249,452.0,469.0
22,1685096469249,480.0,422.0
23,1685096469249,437.0,418.0
24,1685096469249,491.0,459.0
25,1685096469249,319.0,380.0
26,1685096469249,473.0,438.0
27,1685096469249,435.0,446.0
28,1685096469253,297.0,394.0
29,1685096469253,389.0,392.0
30,1685096469253,384.0,438.0
31,1685096469253,425.0,443.0
32,1685096469253,380.0,451.0
33,1685096469253,515.0,454.0
34,1685096469253,457.0,473.0
35,1685096469253,520.0,435.0
36,1685096469253,461.0,477.0
37,1685096469253,527.0,429.0
38,1685096469253,475.0,456.0
39,1685096469253,473.0,431.0
40,1685096469253,395.0,404.0
41,1685096469253,506.0,460.0
42,1685096469253,333.0,399.0
43,1685096469253,372.0,397.0
44,1685096469253,465.0,440.0
45,1685096469253,335.0,425.0
46,1685096469253,367.0,392.0
47,1685096469253,372.0,431.0
48,1685096469253,483.0,459.0
49,1685096469253,419.0,466.0
50,1685096469253,537.0,463.0
51,1685096469253,474.0,477.0
52,1685096469253,534.0,435.0
53,1685096469253,468.0,463.0
54,1685096469253,509.0,432.0
55,1685096469253,458.0,432.0
56,1685096469253,463.0,446.0
57,1685096469253,327.0,377.0
58,1685096469253,477.0,443.0
59,1685096469253,386.0,428.0
60,1685096469253,301.0,393.0
61,1685096469253,414.0,405.0
62,1685096469253,375.0,433.0
63,1685096469259,399.0,433.0
64,1685096469259,374.0,436.0
65,1685096469259,516.0,465.0
66,1685096469259,445.0,475.0
67,1685096469259,530.0,441.0
68,1685096469259,459.0,470.0
69,1685096469259,523.0,428.0
70,1685096469259,462.0,462.0
71,1685096469259,471.0,412.0
72,1685096469259,408.0,401.0
73,1685096469259,502.0,465.0
74,1685096469259,312.0,389.0
75,1685096469259,421.0,409.0
76,1685096469259,468.0,454.0
77,1685096469259,325.0,414.0
78,1685096469259,376.0,402.0
79,1685096469259,393.0,430.0
80,1685096469259,473.0,459.0
81,1685096469259,401.0,455.0
82,1685096469259,604.0,479.0
83,1685096469259,476.0,480.0
84,1685096469259,557.0,457.0
85,1685096469262,442.0,448.0
86,1685096469262,532.0,451.0
87,1685096469262,446.0,420.0
88,1685096469262,490.0,446.0
89,1685096469262,360.0,396.0
90,1685096469262,481.0,435.0
91,1685096469262,398.0,436.0
92,1685096469262,293.0,382.0
93,1685096469262,447.0,423.0
94,1685096469262,367.0,432.0
95,1685096469262,341.0,388.0
96,1685096469262,392.0,448.0
97,1685096469262,483.0,450.0
98,1685096469262,445.0,474.0
99,1685096469262,530.0,448.0
100,1685096469262,457.0,467.0
101,1685096469262,548.0,447.0
102,1685096469262,454.0,450.0
103,1685096469262,504.0,437.0
104,1685096469262,429.0,415.0
105,1685096469262,492.0,456.0
106,1685096469262,321.0,374.0
107,1685096469262,442.0,423.0
108,1685096469262,442.0,451.0
109,1685096469262,303.0,398.0
110,1685096469262,377.0,388.0
111,1685096469262,386.0,438.0
112,1685096469262,427.0,437.0
113,1685096469262,390.0,453.0
114,1685096469262,516.0,459.0
115,1685096469262,472.0,482.0
116,1685096469262,539.0,443.0
117,1685096469262,447.0,454.0
118,1685096469262,534.0,437.0
119,1685096469262,456.0,438.0
120,1685096469262,472.0,437.0
121,1685096469262,376.0,384.0
122,1685096469262,493.0,447.0
123,1685096469262,347.0,408.0
124,1685096469262,352.0,402.0
125,1685096469262,476.0,439.0
126,1685096469262,348.0,423.0
127,1685096469262,378.0,406.0
128,1685096469262,395.0,442.0
129,1685096469262,494.0,461.0
130,1685096469262,435.0,469.0
131,1685096469262,532.0,444.0
132,1685096469262,464.0,472.0
133,1685096469262,530.0,441.0
134,1685096469262,426.0,460.0
135,1685096469262,496.0,428.0
136,1685096469262,445.0,419.0
137,1685096469262,477.0,448.0
138,1685096469262,326.0,378.0
139,1685096469262,473.0,447.0
140,1685096469262,421.0,445.0
141,1685096469262,286.0,385.0
142,1685096469262,429.0,409.0
143,1685096469262,393.0,442.0
144,1685096469262,412.0,439.0
145,1685096469262,377.0,444.0
146,1685096469262,498.0,458.0
147,1685096469262,456.0,473.0
148,1685096469262,522.0,434.0
149,1685096469262,446.0,468.0
150,1685096469262,540.0,427.0
151,1685096469262,452.0,446.0
152,1685096469262,478.0,422.0
153,1685096469262,401.0,404.0
154,1685096469262,503.0,460.0
155,1685096469262,333.0,398.0
156,1685096469262,392.0,408.0
157,1685096469262,486.0,452.0
158,1685096469262,327.0,416.0
159,1685096469262,369.0,396.0
160,1685096469262,383.0,440.0
161,1685096469262,469.0,450.0
162,1685096469262,404.0,463.0
163,1685096469262,527.0,451.0
164,1685096469262,470.0,480.0
165,1685096469262,532.0,447.0
166,1685096469262,452.0,459.0
167,1685096469262,531.0,438.0
168,1685096469262,448.0,432.0
169,1685096469262,474.0,448.0
170,1685096469262,338.0,381.0
171,1685096469262,493.0,451.0
172,1685096469262,384.0,423.0
173,1685096469262,301.0,376.0
174,1685096469262,439.0,414.0
175,1685096469262,367.0,431.0
176,1685096469262,383.0,418.0
