Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),C1 (),C2 ()
0,1685095159569,345.0,460.0
1,1685095159569,329.0,442.0
2,1685095159569,334.0,426.0
3,1685095159569,368.0,430.0
4,1685095159569,400.0,437.0
5,1685095159569,408.0,432.0
6,1685095159569,393.0,415.0
7,1685095159569,491.0,414.0
8,1685095159569,475.0,463.0
9,1685095159569,475.0,430.0
10,1685095159569,426.0,382.0
11,1685095159569,544.0,471.0
12,1685095159569,405.0,383.0
13,1685095159569,429.0,413.0
14,1685095159569,488.0,432.0
15,1685095159569,386.0,425.0
16,1685095159569,378.0,412.0
17,1685095159569,362.0,427.0
18,1685095159569,445.0,465.0
19,1685095159569,355.0,459.0
20,1685095159569,478.0,464.0
21,1685095159569,395.0,485.0
22,1685095159569,486.0,416.0
23,1685095159569,431.0,474.0
24,1685095159569,472.0,411.0
25,1685095159569,475.0,446.0
26,1685095159569,481.0,432.0
27,1685095159569,386.0,358.0
28,1685095159569,525.0,453.0
29,1685095159569,438.0,421.0
30,1685095159569,370.0,396.0
31,1685095159569,460.0,422.0
32,1685095159569,410.0,438.0
33,1685095159569,401.0,426.0
34,1685095159569,344.0,437.0
35,1685095159569,467.0,466.0
36,1685095159569,379.0,479.0
37,1685095159569,472.0,440.0
38,1685095159569,381.0,466.0
39,1685095159569,475.0,421.0
40,1685095159569,435.0,462.0
41,1685095159569,454.0,407.0
42,1685095159569,452.0,394.0
43,1685095159569,514.0,464.0
44,1685095159569,384.0,362.0
45,1685095159569,511.0,451.0
46,1685095159569,512.0,448.0
47,1685095159569,383.0,411.0
48,1685095159569,421.0,406.0
49,1685095159569,404.0,442.0
50,1685095159569,424.0,449.0
51,1685095159569,342.0,445.0
52,1685095159569,454.0,454.0
53,1685095159569,380.0,476.0
54,1685095159569,466.0,435.0
55,1685095159569,409.0,481.0
56,1685095159569,484.0,416.0
57,1685095159569,460.0,450.0
58,1685095159569,476.0,422.0
59,1685095159569,444.0,392.0
60,1685095159569,541.0,461.0
61,1685095159569,397.0,387.0
62,1685095159579,450.0,414.0
63,1685095159579,507.0,455.0
64,1685095159579,388.0,417.0
65,1685095159579,387.0,416.0
66,1685095159579,370.0,421.0
67,1685095159579,441.0,458.0
68,1685095159579,354.0,464.0
69,1685095159579,471.0,454.0
70,1685095159579,391.0,480.0
71,1685095159579,493.0,431.0
72,1685095159579,431.0,477.0
73,1685095159579,477.0,412.0
74,1685095159579,478.0,444.0
75,1685095159579,489.0,428.0
76,1685095159579,398.0,369.0
77,1685095159579,533.0,448.0
78,1685095159579,431.0,408.0
79,1685095159579,376.0,395.0
80,1685095159579,462.0,428.0
81,1685095159579,406.0,446.0
82,1685095159579,391.0,421.0
83,1685095159579,335.0,434.0
84,1685095159579,459.0,458.0
85,1685095159579,376.0,465.0
86,1685095159579,480.0,444.0
87,1685095159579,394.0,483.0
88,1685095159579,492.0,422.0
89,1685095159579,440.0,476.0
90,1685095159579,464.0,398.0
91,1685095159579,457.0,413.0
92,1685095159579,519.0,451.0
93,1685095159579,373.0,358.0
94,1685095159579,503.0,445.0
95,1685095159579,494.0,441.0
96,1685095159579,371.0,397.0
97,1685095159579,430.0,416.0
98,1685095159579,402.0,443.0
99,1685095159579,423.0,456.0
100,1685095159579,341.0,441.0
101,1685095159579,454.0,446.0
102,1685095159579,384.0,477.0
103,1685095159579,471.0,435.0
104,1685095159579,400.0,474.0
105,1685095159579,486.0,410.0
106,1685095159579,451.0,460.0
107,1685095159579,473.0,416.0
108,1685095159579,441.0,411.0
109,1685095159579,537.0,444.0
110,1685095159579,405.0,382.0
111,1685095159579,462.0,435.0
112,1685095159579,518.0,443.0
113,1685095159579,402.0,426.0
114,1685095159579,393.0,413.0
115,1685095159579,376.0,439.0
116,1685095159579,446.0,460.0
117,1685095159579,361.0,454.0
118,1685095159579,471.0,455.0
119,1685095159579,379.0,476.0
120,1685095159579,478.0,432.0
121,1685095159579,406.0,461.0
122,1685095159579,483.0,408.0
123,1685095159579,475.0,449.0
124,1685095159579,483.0,436.0
125,1685095159579,409.0,362.0
126,1685095159579,551.0,474.0
127,1685095159579,436.0,396.0
128,1685095159579,399.0,400.0
129,1685095159579,478.0,437.0
130,1685095159579,408.0,443.0
131,1685095159579,391.0,424.0
132,1685095159579,328.0,415.0
133,1685095159579,451.0,459.0
134,1685095159579,355.0,460.0
135,1685095159579,475.0,450.0
136,1685095159579,389.0,468.0
137,1685095159579,498.0,425.0
138,1685095159579,444.0,472.0
139,1685095159579,473.0,405.0
140,1685095159579,473.0,419.0
141,1685095159579,511.0,440.0
142,1685095159579,380.0,357.0
143,1685095159579,511.0,449.0
144,1685095159579,471.0,425.0
